"mthyr","country","price","year","month"
1993-01-01,"Belgium",83.1047,1993,1
1993-01-01,"Denmark",65.1153,1993,1
1993-01-01,"France",79.966,1993,1
1993-01-01,"Greece",127.5668,1993,1
1993-01-01,"Ireland",95.4701,1993,1
1993-01-01,"Italy",84.0241,1993,1
1993-01-01,"Netherlands",73.1219,1993,1
1993-01-01,"Spain",98.0238,1993,1
1993-02-01,"Belgium",82.0966,1993,2
1993-02-01,"Denmark",65.9557,1993,2
1993-02-01,"France",81.0294,1993,2
1993-02-01,"Greece",127.6743,1993,2
1993-02-01,"Ireland",83.9661,1993,2
1993-02-01,"Italy",81.9433,1993,2
1993-02-01,"Netherlands",73.6476,1993,2
1993-02-01,"Spain",100.2312,1993,2
1993-03-01,"Belgium",77.0447,1993,3
1993-03-01,"Denmark",66.0074,1993,3
1993-03-01,"France",80.6744,1993,3
1993-03-01,"Greece",126.4005,1993,3
1993-03-01,"Ireland",83.916,1993,3
1993-03-01,"Italy",92.5384,1993,3
1993-03-01,"Netherlands",73.3382,1993,3
1993-03-01,"Spain",89.6801,1993,3
1993-04-01,"Belgium",71.3933,1993,4
1993-04-01,"Denmark",65.7361,1993,4
1993-04-01,"France",79.8537,1993,4
1993-04-01,"Greece",125.1145,1993,4
1993-04-01,"Ireland",82.5726,1993,4
1993-04-01,"Italy",99.0582,1993,4
1993-04-01,"Netherlands",73.0809,1993,4
1993-04-01,"Spain",79.3424,1993,4
1993-05-01,"Belgium",80.8621,1993,5
1993-05-01,"Denmark",65.5045,1993,5
1993-05-01,"France",79.658,1993,5
1993-05-01,"Greece",124.9806,1993,5
1993-05-01,"Ireland",82.2493,1993,5
1993-05-01,"Italy",102.1266,1993,5
1993-05-01,"Netherlands",72.503,1993,5
1993-05-01,"Spain",78.5194,1993,5
1993-06-01,"Belgium",87.6236,1993,6
1993-06-01,"Denmark",65.6769,1993,6
1993-06-01,"France",79.5689,1993,6
1993-06-01,"Greece",124.9842,1993,6
1993-06-01,"Ireland",82.1312,1993,6
1993-06-01,"Italy",107.3348,1993,6
1993-06-01,"Netherlands",72.0083,1993,6
1993-06-01,"Spain",75.8919,1993,6
1993-07-01,"Belgium",84.3799,1993,7
1993-07-01,"Denmark",65.1087,1993,7
1993-07-01,"France",78.4077,1993,7
1993-07-01,"Greece",125.9538,1993,7
1993-07-01,"Ireland",81.928,1993,7
1993-07-01,"Italy",114.3264,1993,7
1993-07-01,"Netherlands",72.4721,1993,7
1993-07-01,"Spain",79.7357,1993,7
1993-08-01,"Belgium",80.1103,1993,8
1993-08-01,"Denmark",62.2963,1993,8
1993-08-01,"France",77.1995,1993,8
1993-08-01,"Greece",127.4483,1993,8
1993-08-01,"Ireland",81.1258,1993,8
1993-08-01,"Italy",114.133,1993,8
1993-08-01,"Netherlands",73.5585,1993,8
1993-08-01,"Spain",86.5298,1993,8
1993-09-01,"Belgium",80.3804,1993,9
1993-09-01,"Denmark",61.7899,1993,9
1993-09-01,"France",77.2803,1993,9
1993-09-01,"Greece",125.1521,1993,9
1993-09-01,"Ireland",78.5441,1993,9
1993-09-01,"Italy",113.5168,1993,9
1993-09-01,"Netherlands",74.0602,1993,9
1993-09-01,"Spain",104.3348,1993,9
1993-10-01,"Belgium",73.5193,1993,10
1993-10-01,"Denmark",62.7524,1993,10
1993-10-01,"France",77.1283,1993,10
1993-10-01,"Greece",124.8433,1993,10
1993-10-01,"Ireland",79.3501,1993,10
1993-10-01,"Italy",111.0487,1993,10
1993-10-01,"Netherlands",73.2693,1993,10
1993-10-01,"Spain",103.3694,1993,10
1993-11-01,"Belgium",77.9683,1993,11
1993-11-01,"Denmark",63.3558,1993,11
1993-11-01,"France",77.2126,1993,11
1993-11-01,"Greece",126.502,1993,11
1993-11-01,"Ireland",80.1889,1993,11
1993-11-01,"Italy",109.8741,1993,11
1993-11-01,"Netherlands",72.8799,1993,11
1993-11-01,"Spain",90.5905,1993,11
1993-12-01,"Belgium",78.1355,1993,12
1993-12-01,"Denmark",63.9525,1993,12
1993-12-01,"France",77.7037,1993,12
1993-12-01,"Greece",125.6951,1993,12
1993-12-01,"Ireland",81.0284,1993,12
1993-12-01,"Italy",109.6091,1993,12
1993-12-01,"Netherlands",71.662,1993,12
1993-12-01,"Spain",95.3123,1993,12
1994-01-01,"Belgium",82.7097,1994,1
1994-01-01,"Denmark",64.1764,1994,1
1994-01-01,"France",71.0331,1994,1
1994-01-01,"Greece",119.1569,1994,1
1994-01-01,"Ireland",82.9618,1994,1
1994-01-01,"Italy",101.3908,1994,1
1994-01-01,"Netherlands",71.298,1994,1
1994-01-01,"Spain",89.0502,1994,1
1994-02-01,"Belgium",86.575,1994,2
1994-02-01,"Denmark",64.469,1994,2
1994-02-01,"France",70.8057,1994,2
1994-02-01,"Greece",118.6282,1994,2
1994-02-01,"Ireland",82.0309,1994,2
1994-02-01,"Italy",91.8839,1994,2
1994-02-01,"Netherlands",70.7583,1994,2
1994-02-01,"Spain",97.9483,1994,2
1994-03-01,"Belgium",90.4567,1994,3
1994-03-01,"Denmark",64.6181,1994,3
1994-03-01,"France",71.3665,1994,3
1994-03-01,"Greece",117.5244,1994,3
1994-03-01,"Ireland",80.3185,1994,3
1994-03-01,"Italy",94.244,1994,3
1994-03-01,"Netherlands",71.4229,1994,3
1994-03-01,"Spain",90.931,1994,3
1994-04-01,"Belgium",84.429,1994,4
1994-04-01,"Denmark",64.4606,1994,4
1994-04-01,"France",71.0726,1994,4
1994-04-01,"Greece",116.3601,1994,4
1994-04-01,"Ireland",81.6384,1994,4
1994-04-01,"Italy",80.7752,1994,4
1994-04-01,"Netherlands",71.8064,1994,4
1994-04-01,"Spain",84.4142,1994,4
1994-05-01,"Belgium",88.0721,1994,5
1994-05-01,"Denmark",64.6943,1994,5
1994-05-01,"France",70.548,1994,5
1994-05-01,"Greece",117.9715,1994,5
1994-05-01,"Ireland",79.7454,1994,5
1994-05-01,"Italy",84.0653,1994,5
1994-05-01,"Netherlands",72.458,1994,5
1994-05-01,"Spain",91.1891,1994,5
1994-06-01,"Belgium",95.2317,1994,6
1994-06-01,"Denmark",64.699,1994,6
1994-06-01,"France",70.8573,1994,6
1994-06-01,"Greece",117.9251,1994,6
1994-06-01,"Ireland",81.3198,1994,6
1994-06-01,"Italy",96.0199,1994,6
1994-06-01,"Netherlands",73.1091,1994,6
1994-06-01,"Spain",80.1237,1994,6
1994-07-01,"Belgium",88.2317,1994,7
1994-07-01,"Denmark",64.6236,1994,7
1994-07-01,"France",71.5437,1994,7
1994-07-01,"Greece",117.6009,1994,7
1994-07-01,"Ireland",79.828,1994,7
1994-07-01,"Italy",96.719,1994,7
1994-07-01,"Netherlands",74.3665,1994,7
1994-07-01,"Spain",99.7587,1994,7
1994-08-01,"Belgium",91.3013,1994,8
1994-08-01,"Denmark",62.3826,1994,8
1994-08-01,"France",71.2719,1994,8
1994-08-01,"Greece",118.3096,1994,8
1994-08-01,"Ireland",79.5237,1994,8
1994-08-01,"Italy",108.9449,1994,8
1994-08-01,"Netherlands",74.4636,1994,8
1994-08-01,"Spain",111.4519,1994,8
1994-09-01,"Belgium",88.1061,1994,9
1994-09-01,"Denmark",62.0975,1994,9
1994-09-01,"France",70.2881,1994,9
1994-09-01,"Greece",120.0309,1994,9
1994-09-01,"Ireland",79.7935,1994,9
1994-09-01,"Italy",114.6208,1994,9
1994-09-01,"Netherlands",74.4763,1994,9
1994-09-01,"Spain",99.5227,1994,9
1994-10-01,"Belgium",74.7969,1994,10
1994-10-01,"Denmark",62.5163,1994,10
1994-10-01,"France",70.2434,1994,10
1994-10-01,"Greece",120.4379,1994,10
1994-10-01,"Ireland",78.2765,1994,10
1994-10-01,"Italy",108.6532,1994,10
1994-10-01,"Netherlands",74.5107,1994,10
1994-10-01,"Spain",76.6446,1994,10
1994-11-01,"Belgium",64.4908,1994,11
1994-11-01,"Denmark",62.5974,1994,11
1994-11-01,"France",69.4027,1994,11
1994-11-01,"Greece",119.3402,1994,11
1994-11-01,"Ireland",78.4608,1994,11
1994-11-01,"Italy",107.01,1994,11
1994-11-01,"Netherlands",74.5727,1994,11
1994-11-01,"Spain",72.3699,1994,11
1994-12-01,"Belgium",58.5328,1994,12
1994-12-01,"Denmark",62.6039,1994,12
1994-12-01,"France",69.0959,1994,12
1994-12-01,"Greece",121.3925,1994,12
1994-12-01,"Ireland",78.8056,1994,12
1994-12-01,"Italy",90.6075,1994,12
1994-12-01,"Netherlands",73.3603,1994,12
1994-12-01,"Spain",75.4722,1994,12
1995-01-01,"Belgium",69.9135,1995,1
1995-01-01,"Denmark",65.9511,1995,1
1995-01-01,"France",69.844,1995,1
1995-01-01,"Greece",120.8658,1995,1
1995-01-01,"Ireland",78.0961,1995,1
1995-01-01,"Italy",72.012,1995,1
1995-01-01,"Netherlands",71.7878,1995,1
1995-01-01,"Spain",56.0605,1995,1
1995-02-01,"Belgium",72.9305,1995,2
1995-02-01,"Denmark",66.2095,1995,2
1995-02-01,"France",69.664,1995,2
1995-02-01,"Greece",119.5646,1995,2
1995-02-01,"Ireland",77.8752,1995,2
1995-02-01,"Italy",74.501,1995,2
1995-02-01,"Netherlands",72.2101,1995,2
1995-02-01,"Spain",64.8278,1995,2
1995-03-01,"Belgium",68.5105,1995,3
1995-03-01,"Denmark",64.8341,1995,3
1995-03-01,"France",69.8079,1995,3
1995-03-01,"Greece",117.6055,1995,3
1995-03-01,"Ireland",76.0949,1995,3
1995-03-01,"Italy",71.07,1995,3
1995-03-01,"Netherlands",71.7221,1995,3
1995-03-01,"Spain",76.9367,1995,3
1995-04-01,"Belgium",59.0686,1995,4
1995-04-01,"Denmark",65.6657,1995,4
1995-04-01,"France",70.4316,1995,4
1995-04-01,"Greece",117.6588,1995,4
1995-04-01,"Ireland",75.9587,1995,4
1995-04-01,"Italy",75.7226,1995,4
1995-04-01,"Netherlands",70.3906,1995,4
1995-04-01,"Spain",69.6065,1995,4
1995-05-01,"Belgium",59.8161,1995,5
1995-05-01,"Denmark",63.0269,1995,5
1995-05-01,"France",69.3649,1995,5
1995-05-01,"Greece",117.6234,1995,5
1995-05-01,"Ireland",76.8655,1995,5
1995-05-01,"Italy",73.3047,1995,5
1995-05-01,"Netherlands",68.6625,1995,5
1995-05-01,"Spain",66.4783,1995,5
1995-06-01,"Belgium",84.2041,1995,6
1995-06-01,"Denmark",63.0634,1995,6
1995-06-01,"France",69.4684,1995,6
1995-06-01,"Greece",118.3275,1995,6
1995-06-01,"Ireland",76.7993,1995,6
1995-06-01,"Italy",74.773,1995,6
1995-06-01,"Netherlands",67.5691,1995,6
1995-06-01,"Spain",70.176,1995,6
1995-07-01,"Belgium",82.0151,1995,7
1995-07-01,"Denmark",63.0862,1995,7
1995-07-01,"France",70.034,1995,7
1995-07-01,"Greece",117.8262,1995,7
1995-07-01,"Ireland",76.4934,1995,7
1995-07-01,"Italy",82.5737,1995,7
1995-07-01,"Netherlands",66.4286,1995,7
1995-07-01,"Spain",71.7456,1995,7
1995-08-01,"Belgium",93.4521,1995,8
1995-08-01,"Denmark",62.8356,1995,8
1995-08-01,"France",69.8286,1995,8
1995-08-01,"Greece",119.3412,1995,8
1995-08-01,"Ireland",76.9205,1995,8
1995-08-01,"Italy",97.8934,1995,8
1995-08-01,"Netherlands",65.875,1995,8
1995-08-01,"Spain",89.804,1995,8
1995-09-01,"Belgium",91.5862,1995,9
1995-09-01,"Denmark",62.8231,1995,9
1995-09-01,"France",69.1267,1995,9
1995-09-01,"Greece",119.2707,1995,9
1995-09-01,"Ireland",77.1225,1995,9
1995-09-01,"Italy",93.5968,1995,9
1995-09-01,"Netherlands",67.2757,1995,9
1995-09-01,"Spain",85.139,1995,9
1995-10-01,"Belgium",80.568,1995,10
1995-10-01,"Denmark",63.2,1995,10
1995-10-01,"France",68.8238,1995,10
1995-10-01,"Greece",118.5479,1995,10
1995-10-01,"Ireland",76.2346,1995,10
1995-10-01,"Italy",76.1543,1995,10
1995-10-01,"Netherlands",68.2637,1995,10
1995-10-01,"Spain",80.1424,1995,10
1995-11-01,"Belgium",72.0983,1995,11
1995-11-01,"Denmark",63.1477,1995,11
1995-11-01,"France",69.0484,1995,11
1995-11-01,"Greece",116.5069,1995,11
1995-11-01,"Ireland",75.9959,1995,11
1995-11-01,"Italy",76.2651,1995,11
1995-11-01,"Netherlands",68.0748,1995,11
1995-11-01,"Spain",87.3385,1995,11
1995-12-01,"Belgium",69.2404,1995,12
1995-12-01,"Denmark",63.0385,1995,12
1995-12-01,"France",69.2027,1995,12
1995-12-01,"Greece",117.5034,1995,12
1995-12-01,"Ireland",76.5219,1995,12
1995-12-01,"Italy",76.4336,1995,12
1995-12-01,"Netherlands",67.9438,1995,12
1995-12-01,"Spain",79.3907,1995,12
1996-01-01,"Belgium",70.6229,1996,1
1996-01-01,"Denmark",62.863,1996,1
1996-01-01,"France",69.2947,1996,1
1996-01-01,"Greece",115.585,1996,1
1996-01-01,"Ireland",77.6187,1996,1
1996-01-01,"Italy",79.1073,1996,1
1996-01-01,"Netherlands",67.1797,1996,1
1996-01-01,"Spain",78.073,1996,1
1996-02-01,"Belgium",76.5985,1996,2
